zip_code,median_income,store_count
04109,71513.5639686684,0
04110,194205.0,0
04210,66647.0,2
04216,52361.0,0
04217,61125.0,0
04219,62361.0,0
04220,79750.0,0
04221,52458.0,0
04222,99181.0,0
04224,71513.0,0
04226,47955.0,0
04227,71513.5639686684,0
04231,63750.0,0
04234,71513.5639686684,0
04236,98093.0,0
04237,55417.0,0
04238,92550.0,0
04239,70238.0,1
04240,55393.0,1
04250,84028.0,0
04252,73476.0,1
04253,70441.0,0
04254,45843.0,0
04255,75938.0,0
04256,69914.0,0
04257,55727.0,0
04258,95655.0,0
04259,83919.0,0
04260,108797.0,0
04261,45833.0,0
04263,85208.0,0
04265,43506.0,0
04267,71513.5639686684,0
04268,54342.0,0
04270,74241.0,0
04271,71513.5639686684,0
04274,85557.0,1
04275,70417.0,0
04276,38403.0,1
04280,62455.0,0
04281,75137.0,1
04282,100036.0,0
04284,93194.0,0
04285,62083.0,0
