,Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!White alone,Margin of Error!!Total:!!White alone,Estimate!!Total:!!Black or African American alone,Margin of Error!!Total:!!Black or African American alone,Estimate!!Total:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!American Indian and Alaska Native alone,Estimate!!Total:!!Asian alone,Margin of Error!!Total:!!Asian alone,Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Some Other Race alone,Margin of Error!!Total:!!Some Other Race alone,Estimate!!Total:!!Two or More Races:,Margin of Error!!Total:!!Two or More Races:,Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race,Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race,"Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",,ZIP,GEO_ID,median household income
127,860Z200US43222,ZCTA5 43222,4819,1151,2011,452,1481,386,39,59,89,79,0,13,281,340,918,826,105,104,813,817,,43222,860Z200US43222,32321
128,860Z200US43223,ZCTA5 43223,28187,2402,16714,2173,6475,1112,68,53,796,557,22,29,1375,504,2737,800,1106,463,1631,609,,43223,860Z200US43223,46911
129,860Z200US43224,ZCTA5 43224,44319,2285,17654,1671,18880,1665,161,117,1118,470,0,27,2439,869,4067,898,1759,572,2308,643,,43224,860Z200US43224,53321
130,860Z200US43227,ZCTA5 43227,25358,1788,5578,705,15606,1612,49,46,231,125,8,14,2230,841,1656,460,509,265,1147,352,,43227,860Z200US43227,48159
131,860Z200US43228,ZCTA5 43228,59077,2374,31511,1862,14128,1660,124,129,1642,448,167,134,3985,1138,7520,1097,4359,965,3161,748,,43228,860Z200US43228,61713
132,860Z200US43229,ZCTA5 43229,55020,2737,17975,1242,25571,2076,286,293,3124,1026,0,30,1044,521,7020,1773,4376,1832,2644,664,,43229,860Z200US43229,57561
133,860Z200US43230,ZCTA5 43230,58076,2122,37342,1734,11188,1922,9,15,3427,1017,11,15,2082,757,4017,683,1081,339,2936,672,,43230,860Z200US43230,91424
134,860Z200US43231,ZCTA5 43231,23009,2002,8572,1221,9558,1651,460,400,2283,852,0,24,375,326,1761,658,673,352,1088,471,,43231,860Z200US43231,73986
135,860Z200US43232,ZCTA5 43232,47364,2472,13163,1490,27380,2145,12,14,692,361,23,36,2821,1058,3273,812,1153,429,2120,643,,43232,860Z200US43232,51417
136,860Z200US43235,ZCTA5 43235,44589,1707,32519,1902,3563,849,255,169,3969,970,94,124,944,511,3245,757,1847,605,1398,467,,43235,860Z200US43235,86666
137,860Z200US43240,ZCTA5 43240,7679,729,5054,835,889,723,1,4,1357,490,0,18,202,267,176,144,10,16,166,144,,43240,860Z200US43240,82895
138,860Z200US43302,ZCTA5 43302,53702,938,45591,1022,3190,310,143,178,369,67,0,30,885,308,3524,439,671,252,2853,392,,43302,860Z200US43302,55057
139,860Z200US43310,ZCTA5 43310,3177,494,3064,470,9,7,0,13,0,13,0,13,35,38,69,65,32,44,37,51,,43310,860Z200US43310,68388
140,860Z200US43311,ZCTA5 43311,20391,1114,17960,1109,547,195,37,33,173,117,0,24,309,175,1365,321,191,112,1174,299,,43311,860Z200US43311,67914
141,860Z200US43314,ZCTA5 43314,2438,542,2410,541,5,8,0,13,1,3,0,13,1,6,21,20,7,9,14,18,,43314,860Z200US43314,49183
142,860Z200US43315,ZCTA5 43315,6873,769,6428,753,40,47,4,6,0,18,0,18,70,101,331,196,85,109,246,163,,43315,860Z200US43315,73770
143,860Z200US43316,ZCTA5 43316,5968,346,5819,341,7,2,0,18,0,18,0,18,68,62,74,72,43,64,31,26,,43316,860Z200US43316,78828
144,860Z200US43317,ZCTA5 43317,173,58,170,59,0,13,0,13,0,13,0,13,0,13,3,4,0,13,3,4,,43317,860Z200US43317,56875
